"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C16710","44~CloneInstance","C834","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","551","13","578","44","1","1","57","28","1","0"
"C16711","45~CloneInstance","C834","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","585","13","612","44","1","1","57","28","1","0"
"C16858","47~CloneInstance","C876","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","500","9","521","38","1","1","49","22","1","0"
"C23592","59~CloneInstance","C1592","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","496","9","517","37","1","1","43","22","1","0"
"C16859","48~CloneInstance","C876","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","746","9","767","38","1","1","49","22","1","0"
"C23593","60~CloneInstance","C1592","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","744","9","765","42","1","1","41","22","1","0"
"C24050","65~CloneInstance","C1701","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","1103","75","1124","6","1","1","29","22","1","0"
"C36683","105~CloneInstance","C3772","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","1876","5","1896","6","1","1","27","21","1","0"
"C36684","106~CloneInstance","C3772","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\DataSourceEditDwr.java","1898","5","1917","6","1","1","27","20","1","0"
"C16438","24~CloneInstance","C767","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\MaintenanceEventsDwr.java","105","9","136","30","1","3","41","32","1","0"
"C23793","62~CloneInstance","C1608","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\MiscDwr.java","319","38","339","18","1","5","12","21","1","0"
"C23794","63~CloneInstance","C1608","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\MiscDwr.java","387","45","407","14","1","5","12","21","1","0"
"C17061","51~CloneInstance","C897","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\PointLinksDwr.java","107","9","131","25","1","4","48","25","1","0"
"C24051","66~CloneInstance","C1701","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\PublisherEditDwr.java","150","13","170","6","1","1","29","21","1","0"
