"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","LDC","LLDC","LLOC","LOC","MI","MIMS","MISEI","MISM","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1266","int getDataType(MangoValue value)","com.serotonin.mango.DataTypes.getDataType(Lcom/serotonin/mango/rt/dataImage/types/MangoValue;)I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","58","5","62","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","2","0","0","0","1","3","1","0","0","5","5","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1271","String valueToString(MangoValue value)","com.serotonin.mango.DataTypes.valueToString(Lcom/serotonin/mango/rt/dataImage/types/MangoValue;)Ljava/lang/String;","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","64","5","68","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","2","0","0","0","0","3","1","0","0","5","5","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3050","ImageSaveException(Throwable cause)","com.serotonin.mango.ImageSaveException.<init>(Ljava/lang/Throwable;)V","L3047","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\ImageSaveException.java","27","5","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5805","void contextInitialized(ServletContextEvent evt)","com.serotonin.mango.MangoContextListener.contextInitialized(Ljavax/servlet/ServletContextEvent;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","76","5","104","6","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","18","29","0","0","0","0","1","0","0","0","12","15","1","0","5","18","29","15","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L5854","void contextDestroyed(ServletContextEvent evt)","com.serotonin.mango.MangoContextListener.contextDestroyed(Ljavax/servlet/ServletContextEvent;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","106","5","130","6","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","16","25","0","0","0","0","2","0","0","0","8","12","1","0","3","16","25","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5830","void constantsInitialize(ServletContext ctx)","com.serotonin.mango.MangoContextListener.constantsInitialize(Ljavax/servlet/ServletContext;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","136","5","233","6","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","88","98","0","0","0","0","2","0","0","0","2","73","1","0","4","88","98","73","0","0","1","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1"
"L5836","void databaseInitialize(ServletContext ctx)","com.serotonin.mango.MangoContextListener.databaseInitialize(Ljavax/servlet/ServletContext;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","239","5","243","6","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","2","3","1","0","4","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5866","void databaseTerminate(ContextWrapper ctx)","com.serotonin.mango.MangoContextListener.databaseTerminate(Lcom/serotonin/mango/web/ContextWrapper;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","245","5","249","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","2","0","0","0","2","3","1","0","0","5","5","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L5838","void utilitiesInitialize(ServletContext ctx)","com.serotonin.mango.MangoContextListener.utilitiesInitialize(Ljavax/servlet/ServletContext;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","255","5","266","6","0","0","0","0","0","0","0","7","4","0","0","0","0","0","0","0","0","0","0","7","12","0","0","0","0","1","0","0","0","2","5","1","0","7","7","12","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5864","void utilitiesTerminate(ContextWrapper ctx)","com.serotonin.mango.MangoContextListener.utilitiesTerminate(Lcom/serotonin/mango/web/ContextWrapper;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","268","5","274","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","2","0","0","0","3","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5840","void eventManagerInitialize(ServletContext ctx)","com.serotonin.mango.MangoContextListener.eventManagerInitialize(Ljavax/servlet/ServletContext;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","280","5","284","6","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","3","1","0","4","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5862","void eventManagerTerminate(ContextWrapper ctx)","com.serotonin.mango.MangoContextListener.eventManagerTerminate(Lcom/serotonin/mango/web/ContextWrapper;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","286","5","292","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","2","0","0","0","3","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5842","void runtimeManagerInitialize(ServletContext ctx)","com.serotonin.mango.MangoContextListener.runtimeManagerInitialize(Ljavax/servlet/ServletContext;)V","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","298","5","337","6","0","0","0","0","0","0","0","6","4","0","0","0","0","0","0","0","0","0","0","36","40","0","0","0","0","6","0","0","0","3","28","1","0","6","36","40","28","0","0","0","1","15","0","0","2","1","0","0","0","13","0","0","0","0","0","0","0"
